p,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8.0,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9.0,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10.0,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11.0,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9,12.0,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.9,13.0,13.1,13.2,13.3,13.4,13.5,13.6,13.7,13.8,13.9,14.0,14.1,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.9,15.0,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,16.0,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,17.0,17.1,17.2,17.3,17.4,17.5,17.6,17.7,17.8,17.9,18.0,18.1,18.2,18.3,18.4,18.5,18.6,18.7,18.8,18.9,19.0,19.1,19.2,19.3,19.4,19.5,19.6,19.7,19.8,19.9
0.05,0.00416,0.00708,0.00886,0.01086,0.01268,0.01428,0.01514,0.0175,0.01736,0.01744,0.01938,0.01842,0.01886,0.02002,0.02172,0.0209,0.0222,0.02104,0.02266,0.0215,0.02354,0.02226,0.02202,0.0231,0.02218,0.024,0.02426,0.02336,0.02464,0.02458,0.025,0.02552,0.02632,0.02422,0.02424,0.0249,0.02722,0.02668,0.02586,0.02644,0.02806,0.02616,0.02662,0.02672,0.0279,0.02594,0.02644,0.02892,0.02636,0.02694,0.0262,0.02772,0.0273,0.02688,0.02758,0.0282,0.02834,0.02676,0.02818,0.02772,0.02626,0.02732,0.02816,0.02876,0.02754,0.02804,0.02914,0.02758,0.02812,0.02818,0.02712,0.02748,0.02826,0.02808,0.02894,0.02862,0.02874,0.02738,0.0292,0.02896,0.0276,0.02856,0.02936,0.02936,0.02836,0.0292,0.02826,0.02776,0.02774,0.02848,0.02782,0.02822,0.02918,0.02926,0.02954,0.028,0.02926,0.02942,0.0277,0.02798,0.02754,0.0282,0.02792,0.02832,0.02784,0.02864,0.02776,0.0282,0.0279,0.0294,0.02722,0.02806,0.02936,0.02746,0.02898,0.02794,0.02686,0.02694,0.02942,0.02914,0.02746,0.02702,0.02638,0.0291,0.02716,0.02768,0.02692,0.02726,0.02822,0.02794,0.02676,0.02938,0.02732,0.02652,0.02708,0.02726,0.028,0.02728,0.02818,0.02746,0.02828,0.02734,0.02682,0.02838,0.02772,0.0277,0.02632,0.02756,0.02686,0.02734,0.02794,0.02756,0.0265,0.02742,0.02746,0.02624,0.02738,0.0258,0.0273,0.0263,0.02738,0.02714,0.0277,0.02872,0.02694,0.02628,0.02696,0.02724,0.02698,0.02656,0.02798,0.02724,0.02688,0.02582,0.0267,0.02684,0.02698,0.02588,0.02714,0.02658,0.02654,0.02658,0.02686,0.02556,0.02544,0.0261,0.02638,0.02682,0.02662
0.1,0.00824,0.01336,0.01896,0.0223,0.02346,0.02722,0.02904,0.03174,0.0342,0.03434,0.03664,0.03776,0.0357,0.03694,0.03878,0.03798,0.03952,0.04006,0.04094,0.04084,0.04204,0.0425,0.04352,0.0428,0.04378,0.04424,0.0439,0.04508,0.04398,0.04652,0.046,0.0477,0.04668,0.04696,0.04712,0.047,0.0467,0.04702,0.04764,0.04832,0.04922,0.04918,0.04944,0.0493,0.04986,0.05102,0.048,0.04928,0.05012,0.05182,0.05034,0.0491,0.04832,0.05002,0.04874,0.05016,0.0504,0.0493,0.049,0.04978,0.05116,0.05128,0.04932,0.04916,0.05022,0.0483,0.04876,0.0513,0.05184,0.05008,0.05044,0.04746,0.04974,0.04996,0.04978,0.0491,0.04884,0.04834,0.04732,0.04826,0.05004,0.047,0.04808,0.04952,0.04906,0.04914,0.05134,0.04868,0.0486,0.04992,0.05056,0.0485,0.04802,0.05006,0.04718,0.04906,0.04892,0.04894,0.04938,0.04976,0.0482,0.04854,0.04846,0.04914,0.0474,0.04832,0.04624,0.04698,0.04726,0.0476,0.04562,0.0487,0.04498,0.04722,0.04752,0.047,0.05026,0.04864,0.0459,0.047,0.04646,0.04718,0.04604,0.0454,0.04554,0.04652,0.04594,0.04774,0.04486,0.04566,0.04746,0.04562,0.0465,0.0455,0.0466,0.04558,0.04668,0.04472,0.0452,0.04592,0.04602,0.04664,0.04332,0.0454,0.0457,0.0459,0.04514,0.0435,0.0459,0.04576,0.04642,0.04512,0.04498,0.04384,0.04548,0.0455,0.04458,0.04296,0.04306,0.0425,0.04324,0.04452,0.04412,0.04468,0.04442,0.04598,0.04536,0.04354,0.04356,0.0439,0.04308,0.04252,0.04234,0.04336,0.04114,0.04312,0.04218,0.04562,0.0429,0.04416,0.04132,0.04278,0.04264,0.0427,0.04216,0.0412,0.04182,0.04134,0.04274
0.15,0.01098,0.01866,0.02676,0.03104,0.03678,0.03846,0.04204,0.04458,0.04802,0.0503,0.052,0.05386,0.05404,0.05626,0.05676,0.0574,0.05742,0.05874,0.0587,0.05916,0.05926,0.05968,0.0592,0.0617,0.06246,0.06238,0.0647,0.06372,0.0661,0.06468,0.06604,0.06576,0.06586,0.06592,0.0666,0.06668,0.06702,0.06492,0.06706,0.06824,0.06768,0.06862,0.06764,0.06624,0.06808,0.0679,0.06958,0.06986,0.0691,0.0697,0.06834,0.06982,0.06828,0.0684,0.06816,0.06826,0.06908,0.0662,0.06694,0.0682,0.0678,0.06778,0.06612,0.06892,0.06856,0.06618,0.0671,0.06794,0.0681,0.06832,0.06604,0.06874,0.06868,0.06676,0.06832,0.06856,0.06678,0.06852,0.0676,0.06734,0.06648,0.06694,0.0689,0.06664,0.0668,0.06682,0.06768,0.06566,0.06462,0.06646,0.06606,0.06588,0.0652,0.06634,0.06632,0.06568,0.0639,0.06438,0.06502,0.0642,0.0657,0.06332,0.06362,0.06288,0.0637,0.06356,0.06376,0.06204,0.06284,0.06334,0.06104,0.06118,0.0626,0.06522,0.06344,0.0637,0.06218,0.06406,0.06136,0.06354,0.06276,0.06158,0.06306,0.06098,0.06138,0.06134,0.06148,0.06344,0.06338,0.06008,0.06038,0.05902,0.06062,0.05966,0.05858,0.0612,0.05816,0.0593,0.06042,0.0586,0.05954,0.05848,0.05806,0.05928,0.0584,0.05664,0.05638,0.05836,0.05876,0.05898,0.0593,0.05746,0.05764,0.05676,0.05816,0.05674,0.05714,0.05762,0.05796,0.05554,0.05518,0.0586,0.05832,0.05644,0.05614,0.05734,0.0565,0.05826,0.05496,0.05548,0.05624,0.05576,0.05506,0.05636,0.05602,0.05516,0.05444,0.05608,0.0562,0.0559,0.05574,0.05514,0.05466,0.05354,0.05446,0.05478,0.0529,0.05394,0.05406
0.2,0.01452,0.02526,0.0342,0.0413,0.04664,0.05172,0.05734,0.05964,0.0643,0.06466,0.06852,0.06908,0.0686,0.07392,0.0726,0.07284,0.07294,0.07522,0.07576,0.07588,0.07852,0.07588,0.0765,0.07836,0.08014,0.07958,0.08252,0.07896,0.0815,0.08016,0.08258,0.08172,0.08342,0.083,0.08536,0.0834,0.08732,0.08424,0.0874,0.0852,0.08262,0.08368,0.085,0.08688,0.0862,0.08698,0.08602,0.08612,0.08476,0.08374,0.08492,0.08576,0.0865,0.08398,0.08644,0.08774,0.08518,0.08656,0.08288,0.0852,0.08752,0.084,0.08616,0.08372,0.08322,0.08272,0.08546,0.08388,0.0819,0.08302,0.08074,0.083,0.08226,0.08268,0.08254,0.08266,0.08082,0.08094,0.08094,0.08096,0.08266,0.08246,0.0788,0.08146,0.08296,0.08002,0.0798,0.0812,0.08202,0.08022,0.07988,0.07774,0.0802,0.08128,0.08096,0.08116,0.07804,0.07838,0.07846,0.07724,0.07952,0.07786,0.07658,0.0772,0.07988,0.07656,0.07916,0.07668,0.0767,0.0744,0.07508,0.0749,0.0739,0.0749,0.07298,0.07624,0.07362,0.07464,0.073,0.07802,0.07554,0.07242,0.07502,0.07476,0.07256,0.07262,0.07374,0.07122,0.0721,0.06964,0.0729,0.07214,0.07214,0.07194,0.07122,0.07204,0.07004,0.0721,0.06996,0.06936,0.07104,0.06908,0.07136,0.06942,0.06962,0.07138,0.07038,0.07034,0.07028,0.0697,0.06932,0.06752,0.06874,0.06876,0.07018,0.0666,0.068,0.0683,0.06984,0.06696,0.0675,0.06692,0.0665,0.06694,0.06548,0.06696,0.06456,0.06506,0.0666,0.0647,0.06856,0.06714,0.06576,0.06424,0.06514,0.0653,0.06638,0.06452,0.0622,0.06658,0.06486,0.06296,0.0646,0.06554,0.06254,0.06478,0.06534,0.0634,0.06326
0.25,0.01732,0.03122,0.04114,0.05088,0.05702,0.06174,0.07052,0.07326,0.07726,0.07818,0.08468,0.08512,0.08452,0.08486,0.08814,0.08886,0.0891,0.09164,0.09208,0.09144,0.0955,0.09222,0.09196,0.09438,0.0962,0.09378,0.09758,0.09552,0.09624,0.09994,0.0966,0.10066,0.10064,0.10014,0.10146,0.0986,0.10026,0.09912,0.10078,0.1016,0.10036,0.09906,0.10148,0.09982,0.10084,0.1,0.10048,0.0979,0.10254,0.10078,0.10008,0.09818,0.09864,0.10094,0.1005,0.10054,0.09878,0.10088,0.09932,0.09966,0.1007,0.09886,0.09888,0.09734,0.09674,0.09778,0.09798,0.09828,0.0967,0.0959,0.0958,0.09532,0.09558,0.09658,0.09418,0.09448,0.094,0.09318,0.0957,0.0961,0.09362,0.0936,0.09382,0.09574,0.09324,0.0953,0.09336,0.09176,0.0929,0.09262,0.09224,0.0925,0.09146,0.09334,0.0893,0.09126,0.08944,0.08996,0.09056,0.08914,0.08994,0.08756,0.08976,0.08672,0.08822,0.08662,0.08606,0.08726,0.08814,0.08562,0.08608,0.08522,0.08526,0.08558,0.08376,0.08532,0.08448,0.08578,0.08622,0.08492,0.08452,0.08426,0.0851,0.08258,0.08528,0.0845,0.08544,0.08428,0.08314,0.08224,0.0832,0.08334,0.081,0.08048,0.08012,0.08016,0.08176,0.08204,0.0814,0.08064,0.08176,0.0802,0.08148,0.07786,0.07616,0.0806,0.0796,0.07712,0.0794,0.07976,0.07854,0.0779,0.07844,0.07684,0.07564,0.07584,0.07684,0.07748,0.07702,0.07686,0.0781,0.0761,0.0763,0.07364,0.07768,0.07462,0.07498,0.0755,0.07336,0.07478,0.075,0.07332,0.07644,0.07426,0.07588,0.07408,0.07498,0.07242,0.07302,0.07348,0.0721,0.07286,0.07414,0.07092,0.07192,0.07202,0.0711,0.0729,0.0731
0.3,0.02048,0.03616,0.04988,0.0622,0.06986,0.07512,0.08224,0.08632,0.09022,0.09328,0.0963,0.09872,0.09938,0.10392,0.10554,0.10662,0.10334,0.1053,0.10682,0.10654,0.10542,0.1071,0.10648,0.10908,0.11014,0.10962,0.1115,0.1127,0.1118,0.11444,0.11518,0.11552,0.11312,0.11712,0.11448,0.1167,0.11366,0.1148,0.1168,0.1141,0.11598,0.1157,0.11694,0.11396,0.11518,0.11458,0.1172,0.1172,0.11412,0.11324,0.1154,0.11494,0.1157,0.11284,0.11454,0.11428,0.10776,0.11356,0.1127,0.11138,0.1108,0.11214,0.11046,0.10918,0.11138,0.11004,0.10884,0.10942,0.11082,0.1103,0.10956,0.10796,0.10846,0.10874,0.10746,0.10532,0.10364,0.1085,0.10768,0.10542,0.10678,0.10582,0.10444,0.10334,0.10462,0.1035,0.10356,0.10234,0.105,0.10162,0.1035,0.10294,0.10086,0.10166,0.10292,0.10218,0.09948,0.1015,0.10052,0.10006,0.102,0.10222,0.09798,0.09838,0.09932,0.09698,0.09758,0.09738,0.09526,0.09734,0.09604,0.09472,0.09498,0.09624,0.09276,0.09616,0.09668,0.09454,0.09248,0.0951,0.09298,0.09432,0.09252,0.09138,0.09072,0.09058,0.0928,0.0925,0.09286,0.09046,0.08956,0.0912,0.09228,0.08898,0.08958,0.08754,0.08942,0.08852,0.0894,0.0906,0.08822,0.08634,0.08804,0.08712,0.08862,0.0876,0.08894,0.08756,0.08648,0.08854,0.08706,0.08592,0.08536,0.08534,0.08458,0.08348,0.0827,0.08482,0.0851,0.08488,0.083,0.08534,0.08242,0.08386,0.08384,0.08034,0.08172,0.08334,0.08126,0.08044,0.08372,0.08344,0.07886,0.08204,0.0829,0.08296,0.08096,0.07936,0.081,0.07908,0.08058,0.0793,0.08076,0.07846,0.07928,0.081,0.0772,0.0785,0.07918
0.35,0.0236,0.04468,0.05918,0.07074,0.08124,0.08764,0.09076,0.10212,0.10484,0.10826,0.10966,0.11266,0.1143,0.11662,0.11552,0.12106,0.1204,0.12104,0.1204,0.12,0.11986,0.1208,0.11956,0.12114,0.12548,0.12604,0.1269,0.12616,0.1267,0.12698,0.12768,0.12694,0.1281,0.1302,0.12766,0.12884,0.12792,0.12908,0.1292,0.12882,0.12708,0.12588,0.1281,0.12978,0.1274,0.12736,0.12804,0.1235,0.12684,0.12838,0.12538,0.12598,0.12624,0.1266,0.12604,0.12314,0.12538,0.12496,0.12622,0.12512,0.1211,0.12378,0.12242,0.12284,0.12282,0.12038,0.1211,0.11942,0.12132,0.11896,0.11934,0.11994,0.12134,0.11726,0.11664,0.11746,0.11894,0.11804,0.11778,0.11764,0.11642,0.11436,0.1146,0.11432,0.11698,0.11408,0.11264,0.1105,0.11408,0.11192,0.11284,0.11106,0.1123,0.11082,0.11168,0.11302,0.11338,0.11004,0.11264,0.1094,0.1075,0.10856,0.10822,0.11016,0.10782,0.10844,0.10816,0.10604,0.10804,0.10534,0.10638,0.10556,0.10498,0.10496,0.10288,0.10594,0.1028,0.10282,0.10088,0.10172,0.10292,0.10314,0.1029,0.10264,0.10378,0.09954,0.09678,0.09774,0.10034,0.09954,0.09828,0.09882,0.0981,0.09772,0.09782,0.09708,0.09762,0.09864,0.09516,0.09846,0.09508,0.09848,0.09828,0.09394,0.0949,0.09386,0.09618,0.09488,0.09272,0.09666,0.09278,0.09382,0.09284,0.09232,0.0923,0.09402,0.09416,0.09264,0.09272,0.0906,0.09298,0.09042,0.09108,0.08864,0.09004,0.0907,0.09132,0.09024,0.08866,0.09122,0.08798,0.08916,0.08848,0.0882,0.0893,0.08678,0.0874,0.08604,0.08636,0.08706,0.08586,0.08682,0.0861,0.08572,0.08554,0.08358,0.0832,0.08298,0.08708
0.4,0.02696,0.04782,0.066,0.07898,0.08986,0.09888,0.10574,0.11036,0.11438,0.12136,0.12728,0.12474,0.1292,0.13134,0.13048,0.1321,0.13286,0.13382,0.13204,0.13776,0.13494,0.13568,0.13572,0.13386,0.13632,0.13774,0.13528,0.1395,0.13712,0.14044,0.14028,0.1389,0.13826,0.14078,0.14166,0.14336,0.14412,0.14088,0.14384,0.1402,0.14052,0.13994,0.14278,0.13708,0.14082,0.13822,0.14126,0.14158,0.1398,0.13862,0.1393,0.13786,0.13784,0.13752,0.13538,0.1375,0.13512,0.13618,0.13442,0.13572,0.13758,0.13538,0.13196,0.13202,0.13208,0.13364,0.13244,0.1303,0.1302,0.1308,0.13274,0.12968,0.12926,0.12906,0.12934,0.12644,0.12784,0.125,0.12594,0.12642,0.12478,0.12576,0.1246,0.12494,0.12388,0.12766,0.12258,0.12426,0.12328,0.11918,0.12226,0.12148,0.1195,0.12008,0.12064,0.11992,0.11916,0.11936,0.11768,0.11776,0.1209,0.11726,0.11928,0.11428,0.11706,0.11312,0.11676,0.11366,0.11486,0.11392,0.11294,0.11292,0.11178,0.1102,0.1124,0.10964,0.1101,0.11082,0.10976,0.11428,0.11156,0.10906,0.10948,0.10864,0.10792,0.10628,0.1088,0.10708,0.10572,0.1095,0.10344,0.10476,0.10734,0.10286,0.10358,0.10916,0.10486,0.1026,0.1031,0.10098,0.10128,0.0995,0.10302,0.10384,0.10466,0.10018,0.10178,0.10002,0.10138,0.09948,0.10328,0.09946,0.10064,0.099,0.09734,0.09596,0.09954,0.10056,0.09882,0.0953,0.09734,0.09698,0.09458,0.0945,0.09728,0.09572,0.0966,0.0966,0.09388,0.09478,0.09442,0.0957,0.09314,0.09626,0.09436,0.09152,0.09158,0.09452,0.09212,0.09428,0.092,0.09246,0.09076,0.09174,0.09148,0.09174,0.08928,0.09186,0.09322
0.45,0.03014,0.05422,0.0729,0.0882,0.09782,0.10968,0.11534,0.12366,0.13118,0.132,0.1357,0.1378,0.13918,0.14338,0.14646,0.1477,0.14616,0.1527,0.14618,0.14686,0.14644,0.1463,0.1453,0.14672,0.15242,0.14714,0.14816,0.14846,0.15228,0.15154,0.15284,0.15264,0.15326,0.15158,0.15506,0.15464,0.15498,0.1556,0.15302,0.15318,0.1487,0.15162,0.1546,0.15208,0.15106,0.1512,0.1509,0.15176,0.14862,0.151,0.14528,0.15102,0.14934,0.1467,0.14798,0.14484,0.14596,0.14472,0.1451,0.14638,0.14224,0.14304,0.14378,0.14264,0.14334,0.1411,0.14226,0.14082,0.14002,0.13958,0.13766,0.13726,0.1381,0.1385,0.13708,0.13688,0.13616,0.138,0.13384,0.13226,0.13418,0.13588,0.13514,0.1328,0.13022,0.13134,0.1316,0.13022,0.13024,0.12734,0.13106,0.13276,0.13022,0.13026,0.12842,0.12594,0.12946,0.12702,0.12656,0.12512,0.1265,0.1234,0.12428,0.12364,0.12484,0.12296,0.12254,0.12006,0.12416,0.12006,0.1222,0.1233,0.12204,0.12042,0.11898,0.1191,0.11678,0.11896,0.1177,0.11474,0.1166,0.11526,0.11366,0.1131,0.11514,0.11536,0.1135,0.11378,0.11368,0.1113,0.11412,0.11442,0.11458,0.10992,0.11066,0.11106,0.11038,0.10898,0.10974,0.11054,0.10946,0.10676,0.10762,0.10662,0.10838,0.10854,0.10462,0.10866,0.10672,0.10702,0.10686,0.10586,0.10504,0.10376,0.10504,0.10836,0.10462,0.10422,0.10086,0.10362,0.1025,0.1053,0.1024,0.10162,0.10252,0.09896,0.10104,0.10342,0.09874,0.09914,0.1015,0.10092,0.09966,0.09746,0.09958,0.09928,0.0998,0.0984,0.09816,0.09762,0.09612,0.09514,0.09628,0.0963,0.09734,0.09524,0.09514,0.09596,0.09586
